sessID,participant,block,category,band,phase,phaseIdx,medZ,nEvents,nBreaths
260608_OBE_NWU_RX_1,RX,threshTask,olf,low,inhaleRise,1,-0.180593982651224,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,low,peakToExh,2,-0.162839604972555,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,low,exhaleFall,3,-0.1363196204643,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,low,troughToPause,4,-0.275244977832977,44,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,low,pause,5,-0.277671361609344,44,44
260625_OBE_NWU_HM_2,HM,threshTask,olf,high,inhaleRise,1,0.0873814818778133,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,high,peakToExh,2,-0.141889037564865,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,high,exhaleFall,3,-0.115485299845499,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,high,troughToPause,4,-0.296028361242653,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,high,pause,5,NaN,1,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,low,inhaleRise,1,-0.489370073530904,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,low,peakToExh,2,0.269007283524596,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,low,exhaleFall,3,0.627113383105754,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,low,troughToPause,4,-0.353550465223172,45,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,low,pause,5,NaN,1,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,high,inhaleRise,1,-0.034399603423709,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,high,peakToExh,2,-0.233643339191046,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,high,exhaleFall,3,-0.187098738129152,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,high,troughToPause,4,-0.338781230336317,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,high,pause,5,-0.403560591325678,35,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,low,inhaleRise,1,-0.302420708758723,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,low,peakToExh,2,0.238036650084323,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,low,exhaleFall,3,0.413488630237749,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,low,troughToPause,4,-0.138352983731511,45,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,low,pause,5,-0.228450452517816,35,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,high,inhaleRise,1,-0.162286119656355,45,45
