task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
cueTask,dutyCycle__var,11,30,0.008688367208770902,0.002934685250173167,0.3377717402918772,-0.7859442622762983,0.06300265980876829,0.2856119343955562,0.2879017834691268,0.7859442622762983,511,0.5875025152682772
cueTask,timeAboveMs__var,11,30,34823.01052622258,11762.230221435058,0.3377717791681875,-0.7859442622763021,0.06300265980876846,0.2856119343955562,0.2879017834691268,0.7859442622763021,512,0.587502498195166
focusedBreathing,chirpSlope__var,3,27,642.5165556798117,247.19258860361035,0.38472563300985235,0.8134405785565588,0.7193891911227613,0.08859684217814007,0.14068484994399882,0.8134405785565588,541,0.5874380882142385
audiobook,w5_rfreqGated__mean,7,28,43.857999728715974,1.7870038609340522,0.04074522030067113,-0.3578446900372181,-0.6105729768583671,-0.4621160182538343,-0.5304446560264415,0.6105729768583671,74,0.5866690184577285
O15,freqSpan__mean,11,28,22.467964614955267,1.7289294241736695,0.07695086999317677,-0.6311485541120277,-0.12787072448217404,0.13635883486434536,0.28819553837793754,0.6311485541120277,212,0.5860513898057639
threshTask,p2_rfreqPW__var,5,29,29.690029111652084,9.647245783436746,0.3249321766183677,0.7761176863926716,0.680497181721374,-0.14894836647488155,-0.18607853537146238,0.7761176863926716,497,0.5857791818246587
audiobook,maxBurstMs__mean,7,28,152.53677023937507,17.394324862479714,0.1140336512636846,-0.6519689540352986,-0.5881715000880083,0.24118055047914397,0.40055217191973885,0.6519689540352986,273,0.5852327290973204
focusedBreathing,inhalePeakMs__mean,3,27,712.240495556285,31.175979332959347,0.0437717028551796,0.6084412382334451,-0.5356294011249081,0.05426965240432196,0.047125959587152315,0.6084412382334451,88,0.582925592415552
threshTask,chirpSlope__var,5,29,586.7060698425985,238.76338720096072,0.4069557133857661,0.47066166932564035,0.8190898546262672,-0.06508223472969958,-0.27307629216850976,0.8190898546262672,562,0.5821717391908307
audiobook,p4_rpowDb__mean,7,28,3.442944193870058,3.400525069849055,0.9876794038415705,-1.1541616571521107,-0.6187860311109024,0.01701760575156977,0.11720531124046656,1.1541616571521107,769,0.5806578540389726
cueTask,w1_rfreqPW__var,11,30,56.41392431500076,20.837090222267012,0.36936076465003087,-0.22173271516520332,-0.7933885502632896,-0.12199504735488581,-0.18840631418200215,0.7933885502632896,529,0.5793860688465519
audiobook,p4_rfreqGated__var,7,28,26.821253941712225,11.284179978065659,0.4207178382549767,0.539210326061202,-0.8202107975586957,0.1337935900468244,0.28455516285700905,0.8202107975586957,572,0.5773213902671448
audiobook,w5_rpowDb__mean,7,28,3.274007050923694,3.4474918462695254,1.0529885218921253,-1.179238500345641,-0.5492416823528546,0.07775285386493085,0.16916230488314765,1.179238500345641,778,0.5744009222510423
focusedBreathing,inhalePeakMs__var,3,27,34046.13882704464,23479.153211139845,0.6896274884624635,0.9675411485197222,0.8328562633777563,0.07028900763210374,0.0062372593571231,0.9675411485197222,714,0.5726357763036695
cueTask,breathLength__mean,11,30,2.246822132465236,0.2974672766361469,0.13239467076878406,0.39410579929896,-0.6451453961378527,-0.22820250034619818,-0.20216632589192363,0.6451453961378527,294,0.5697177960930024
cueTask,exhaleTroughMs__mean,11,30,2246.822132465236,297.4672766361468,0.13239467082765038,0.39410579929896006,-0.6451453961378526,-0.22820250034619818,-0.20216632589192363,0.6451453961378526,295.5,0.5697177960633861
cueTask,breathLenMs__mean,11,30,2246.822132465236,297.4672766361468,0.13239467082765038,0.39410579929896006,-0.6451453961378526,-0.22820250034619818,-0.20216632589192363,0.6451453961378526,295.5,0.5697177960633861
cueTask,endSymMs__mean,11,30,4493.644264930472,594.9345532722936,0.13239467082767983,0.39410579929896006,-0.6451453961378526,-0.22820250034619818,-0.20216632589192363,0.6451453961378526,297,0.5697177960633714
audiobook,p4_aucZ__mean,7,28,3.2847139410411814,0.43980612320827484,0.133894802094995,-0.5653331696899757,0.6456834148318406,-0.07159130695487971,-0.1232468221291504,0.6456834148318406,299,0.5694385525349174
O15,p4_rfreqRaw__var,11,28,26.998146956859497,7.000893422493714,0.25931014574523115,0.7152001503196034,-0.3094418572218079,-0.04732627674250598,-0.05849211772575475,0.7152001503196034,418,0.567930110573646
