task,metric,ctrl_mean,ctrl_sd,dupi_sd,d_sep,p_sep,rho,p_rho,S1,S2,S3,d_S1_ctrl,d_S3_ctrl,recover_gain,p_sep_fdr,p_rho_fdr
audiobook,w5_rpowDb__var,8.518314509664934,5.224953416797153,7.831467472110098,0.5500611211129399,0.21305435306431122,0.006878610174683695,0.971750113996334,10.62059898520646,14.33529074317554,10.352510135866268,0.38110976149271775,0.2699372606439514,0.11117250084876634,0.5214224956573932,0.9967397636835182
audiobook,w5_bandDb__var,1.7510218976715004,0.5120469947867867,2.3807379620993405,0.8994914126589774,0.025283623361136594,-0.311918515228926,0.09950929659583709,3.051274371478006,3.2437072274874303,1.8120136781437925,0.8091545917831328,0.14185112039289843,0.6673034713902344,0.19977171812032776,0.9967397636835182
audiobook,w5_aucZ__var,0.09686405981542802,0.011164600544786676,0.0198900605209302,-0.3659163113928923,0.45407958157265804,-0.042594470697079806,0.8263479491577348,0.0922615352751398,0.0956850796375746,0.09217436027115303,-0.2494365226860249,-0.4326904796821315,-0.18325395699610658,0.6626140934028462,0.9967397636835182
audiobook,p1_rfreqPW__var,38.80887519847605,10.49004708902639,13.533946414067168,0.6701890675780271,0.16570364533382947,-0.31377044873749466,0.0974099526558342,48.903629043566106,49.31258419756111,38.93209557866466,0.7719720429785086,0.013635992926209983,0.7583360500522986,0.46698300048624675,0.9967397636835182
audiobook,p1_rfreqGated__var,44.25869595542062,12.397644837017179,17.075609293988215,0.8019019034068361,0.08947176548920863,-0.217999030151514,0.25593534308969934,56.698166580797576,61.110001443642716,46.38923743463282,0.792886285201437,0.20130994294114657,0.5915763422602904,0.3588927780877786,0.9967397636835182
audiobook,p1_rfreqRaw__var,36.89188937384767,8.800292105358919,11.513074079481918,0.7488932599926383,0.13004856276948265,-0.34551788031295794,0.06638284218189085,46.62425896369331,46.14533132054242,35.77400583326237,0.887537207898333,-0.1390985322370565,0.7484386756612765,0.390145688308448,0.9967397636835182
audiobook,p1_rpowZ__var,0.26912999752340205,0.05125757046695161,0.11520513350243357,0.3173071122498306,0.42994661618461316,0.005291238595910535,0.9782675694230698,0.3170130726635501,0.2874297988941491,0.32695972132251927,0.5929444645262466,0.519680452172691,0.07326401235355562,0.6397605648827044,0.9967397636835182
audiobook,p1_rpowDb__var,5.677556391402523,2.127596068098131,5.250818375301017,0.9965544558104911,0.017115264067690723,0.025662507190166092,0.8948740191153152,9.724797216191527,9.873544471916203,10.102276945342826,0.9330250708938224,0.9988474320355499,-0.06582236114172757,0.14470177802683976,0.9967397636835182
audiobook,p1_bandDb__var,1.680546223235886,1.2124361251488713,3.0186660627545674,0.6092117427918712,0.17367625754487254,-0.21403060120458112,0.26490560632469884,2.5142243784973384,3.0039132783000873,2.8260817463889305,0.6654451439415728,0.5696576263027854,0.09578751763878746,0.47432664405052016,0.9967397636835182
audiobook,p1_aucZ__var,0.5311599811887125,0.41768987377021377,0.20213244904132008,-0.48368076762202616,0.42844377648586796,0.031747431575463204,0.8701359719463158,0.35260379357379695,0.40909817432991136,0.349189350407006,-0.6357478002176755,-0.5750123608653883,0.0607354393522872,0.6397605648827044,0.9967397636835182
audiobook,p2_rfreqPW__var,40.53384306155459,10.930605963674147,11.685754636594089,0.2805616673939846,0.58895007145854406,-0.17910842647157157,0.3525526431625513,45.96909058161294,42.12215388909595,44.05346655704366,0.4919916481439274,0.36413943551883776,0.1278522126250896,0.7755864970374979,0.9967397636835182
audiobook,p2_rfreqGated__var,45.49477310367082,14.705489061203616,15.524876974255506,0.44450992390436783,0.4190831317376006,-0.13545570805530968,0.483550074661675,53.65395383365007,48.049074929439676,52.038521216003346,0.5660110473925035,0.46606455457426016,0.09994649281824336,0.6397605648827044,0.9967397636835182
audiobook,p2_rfreqRaw__var,38.41116240350714,9.387754511912968,9.843707213147594,0.25620516202461774,0.6171333417287618,-0.20477093366173768,0.28662171887495896,43.107633988329226,39.615445693033145,41.19031697896283,0.4811451747575667,0.3384581308166539,0.1426870439409128,0.7755864970374979,0.9967397636835182
audiobook,p2_rpowZ__var,0.2746358664179612,0.07007996351496612,0.12917960550906019,0.4609121890599248,0.28983290573918263,-0.06561135858929064,0.7352496253741658,0.3250554110116772,0.31395173632422807,0.32913351880692,0.49257919553790014,0.5063322540334714,-0.013753058495571235,0.5859665268205214,0.9967397636835182
