sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,low,500-1000,750,0.359806672216788,0.0568904300765337,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,low,1000-1500,1250,0.402943490788908,0.0637109599616013,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,cueTask,low,1500-2000,1750,0.343665363680437,0.0543382651070144,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,high,0-500,250,5.03390820811966,0.795930773493752,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,high,500-1000,750,1.80458613321849,0.285330120746323,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,high,1000-1500,1250,1.54164182509558,0.243754975174048,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,high,1500-2000,1750,1.13376352398976,0.179263753191329,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,low,0-500,250,-2.50305320653639,-0.395767461862143,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,low,500-1000,750,-3.10491808384577,-0.490930654659915,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,low,1000-1500,1250,-2.4393281847646,-0.385691651225008,40
250310_OBE_NMH_FS,FS,cueTask,olf,cueTask,low,1500-2000,1750,-0.384600515522552,-0.0608106809163104,40
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,high,0-500,250,6.03027033751458,0.965616056091789,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,high,500-1000,750,2.37764742133404,0.380728291977646,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,high,1000-1500,1250,-0.953212504720879,-0.152636158564877,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,high,1500-2000,1750,-1.72210008550276,-0.27575670735914,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,low,0-500,250,-0.451876904974627,-0.0723582145407439,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,low,500-1000,750,6.44838444971211,1.03256789695783,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,low,1000-1500,1250,14.1495966132263,2.26574878276265,39
250313_OBE_NMH_CS,CS,cueTask,olf,cueTask,low,1500-2000,1750,17.2022859257541,2.75457028651824,39
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,high,0-500,250,2.47690182093152,0.31976665008862,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,high,500-1000,750,1.10250824217559,0.142333202033416,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,high,1000-1500,1250,-1.40125994872515,-0.180901881503998,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,high,1500-2000,1750,-1.56328577512316,-0.201819325747165,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,low,0-500,250,-0.418123429188693,-0.0539795025968982,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,low,500-1000,750,1.21541804650863,0.156909795093595,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,low,1000-1500,1250,2.17094326336997,0.280267570153103,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,cueTask,low,1500-2000,1750,3.52613162091156,0.455221634810861,60
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,high,0-500,250,3.68067098799849,0.581965181988874,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,high,500-1000,750,1.04658803099909,0.165480097491402,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,high,1000-1500,1250,1.99519305871795,0.315467721865339,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,high,1500-2000,1750,2.92715827393024,0.462824360871331,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,low,0-500,250,-0.0436033128949202,-0.00689428911384691,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,low,500-1000,750,14.286155769162,2.25883956192533,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,low,1000-1500,1250,17.6121718620008,2.78472888131256,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,cueTask,low,1500-2000,1750,8.78602417067355,1.38919239783102,40
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,high,0-500,250,4.22553243113442,0.554839590465332,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,high,500-1000,750,0.182462386892257,0.0239584851538929,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,high,1000-1500,1250,1.37069450686392,0.179981006236717,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,high,1500-2000,1750,1.68313900840046,0.221006979200116,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,low,0-500,250,-0.467669674804621,-0.0614080367552612,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,low,500-1000,750,10.2774683287521,1.34949770507722,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,low,1000-1500,1250,13.5739944868635,1.78235279572758,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,cueTask,low,1500-2000,1750,10.6747026586044,1.40165712793953,58
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,high,0-500,250,0.795758981898547,0.102732042816268,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,high,500-1000,750,-1.21342447425327,-0.156652426022114,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,high,1000-1500,1250,0.159286210718711,0.0205637613798018,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,high,1500-2000,1750,0.114950335712501,0.0148400245285156,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,low,0-500,250,-0.204151460007183,-0.0263558401570583,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,low,500-1000,750,2.04178153121575,0.263592862233083,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,low,1000-1500,1250,4.00139510952968,0.516577887360142,60
260622_OBE_NWU_RC_1,RC,cueTask,olf,cueTask,low,1500-2000,1750,10.8669689842546,1.40291966332568,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,high,0-500,250,3.44184470013898,0.444340240129018,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,high,500-1000,750,4.17451657087357,0.538927771915341,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,high,1000-1500,1250,3.12996146343062,0.404076287404593,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,high,1500-2000,1750,4.72034896290796,0.609394430721,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,low,0-500,250,-1.1094859973799,-0.143234026356756,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,low,500-1000,750,-0.165926114572399,-0.0214209692813268,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,low,1000-1500,1250,7.44576894066505,0.961244636896805,60
260720_OBE_NWU_KA_2,KA,cueTask,olf,cueTask,low,1500-2000,1750,7.21594709243799,0.931574763870873,60
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,high,0-500,250,4.17679027388413,0.629674825749065,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,high,500-1000,750,2.41583772324525,0.364201240108679,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,high,1000-1500,1250,2.75045646415962,0.414646913355684,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,high,1500-2000,1750,3.6876062976522,0.555927566539272,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,low,0-500,250,0.262806418731179,0.0396195583376522,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,low,500-1000,750,3.41051172838535,0.51415398846185,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,low,1000-1500,1250,7.03725886620182,1.06090669144515,44
260514_OBE_NWU_BW_1,BW,threshTask,olf,threshTask,low,1500-2000,1750,3.40472862122815,0.513282152254448,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,high,0-500,250,3.95659112701077,0.596478555324734,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,high,500-1000,750,1.18321946538625,0.178377045969595,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,high,1000-1500,1250,2.1848803836766,0.329383111111955,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,high,1500-2000,1750,4.17438809689925,0.629312683942752,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,low,0-500,250,0.402688846449059,0.0607076277696621,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,low,500-1000,750,2.33040793716148,0.351322215274125,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,low,1000-1500,1250,1.29857551814188,0.195767625255362,44
260608_OBE_NWU_RX_1,RX,threshTask,olf,threshTask,low,1500-2000,1750,1.95518653793002,0.294755460975811,44
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,high,0-500,250,5.37884739303659,0.80183122742849,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,high,500-1000,750,0.110272584849561,0.0164384663852154,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,high,1000-1500,1250,0.532623058310497,0.0793987576510737,45
