metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
w5_bandDb,window_gamma,FALSE,6,4,2,0.03967635216992051,0.14428572513680823,higher_focus,0.5293681061847979,0.7562401516925684,0.5304588978346334,0.8169895171393916,0.6874999999999999,0.1828073387914033,0.13157998325345813,0.3454130324692555,0.07106470439007173,0.13107489920835452,0.8494312044995013,1
w2_rfreqGated,window_gamma,FALSE,6,4,2,0.06765578435572445,0.24783485222130391,higher_focus,0.5293681061847979,0.7562401516925684,0.5333263070419418,0.8169895171393916,0.6874999999999999,0.1515064722991552,0.15139665353842185,-0.4478357102232107,0.6667357438353287,0.7231690920301644,0.6318856357984128,1
p4_rfreqRaw,segment_gamma,FALSE,6,3,3,0.13220118839105327,0.49115931358498277,higher_focus,0.6749867139704894,0.83075287873291,0.5388479348517555,0.8169895171393916,1,0.24631444326393376,0.12738134369833204,-0.17360426530152276,0.047311663380668056,0.1121962303027271,0.9833518268481238,1
w2_rfreqRaw,window_gamma,FALSE,6,4,2,0.03652014955767634,0.13703197127681016,higher_focus,0.5293681061847979,0.7562401516925684,0.5426994702740475,0.8169895171393916,0.6874999999999999,0.16112984494604182,0.17055679064191084,-0.18966666666666634,0.2814213278956904,0.3767414550861662,0.1909000911730675,1
p3_rfreqPW,segment_gamma,FALSE,6,2,4,-0.07910980816344462,0.30366861593185246,higher_audiobook,0.5293681061847979,0.7562401516925684,0.5514679240690894,0.8169895171393916,0.6874999999999999,0.24604489764823098,0.153424983061193,-1.686553415628128,0.0012212405957783279,0.0112625521610668,0.5008551874345192,1
chirpSlope,chirp,FALSE,6,3,3,-0.08951913391382953,0.35440790991647125,higher_audiobook,0.833935414088552,0.8895311083611221,0.5632016131328407,0.819202346375041,1,0.16842814175803672,0.1282631221603302,-4.323041168658711,0.2077322195732869,0.2972719693893589,0.8737118904505035,1
p1_rpowZ,segment_gamma,FALSE,6,3,3,0.04601300540240852,0.19526113326921776,higher_focus,0.6749867139704894,0.83075287873291,0.5888067344128871,0.8291844226703428,1,0.1451212736816034,0.13494926656469763,0.014272227424755535,0.5338518549518331,0.6329957708714592,0.8103816429572448,1
w4_aucZ,window_gamma,FALSE,6,3,3,0.05922880065622476,0.26478042773081273,higher_focus,0.6749867139704894,0.83075287873291,0.6073051942471617,0.8291844226703428,1,0.1831871071219884,0.14322148305518081,0.03437371709852902,0.056823775785735386,0.11521669848585325,0.6314044738572078,1
w4_rpowZ,window_gamma,FALSE,6,3,3,0.05922880065622386,0.26478042773081145,higher_focus,0.6749867139704894,0.83075287873291,0.6073051942471652,0.8291844226703428,1,0.1831871071219884,0.14322148305518081,0.06874743419705753,0.05695469959771493,0.11521669848585325,0.6274729825815694,1
peakZ_base,gamma_power,FALSE,6,2,4,-1.189163109312082,5.447146345803867,higher_audiobook,0.833935414088552,0.8895311083611221,0.6157401688166646,0.8291844226703428,0.6874999999999999,0.22983514687469614,0.14186938440278418,1.4606851507373373,0.005438965003078722,0.03216572632377608,0.8331600767918168,1
