sess,cond,freqRange,minLat_ms,maxLat_ms,minPct,maxPct,breathMs
AD,baseline,33,706,260,17.5360158966716,6.45802285146547,4026
AD,baseline,29,558,1534,14.5085803432137,39.885595423817,3846
AD,baseline,31,3276,780,89.6551724137931,21.3464696223317,3654
AD,baseline,27,750,1702,22.2551928783383,50.5044510385757,3370
AD,baseline,30,1348,1648,39.9052693901717,48.7862640615749,3378
AD,baseline,16,1694,484,43.7048503611971,12.4871001031992,3876
AD,baseline,29,1912,540,66.2508662508663,18.7110187110187,2886
AD,baseline,33,348,936,9.10518053375196,24.4897959183673,3822
AD,baseline,20,1454,422,42.9923122412774,12.4778237729154,3382
AD,baseline,28,278,812,6.83046683046683,19.95085995086,4070
AD,baseline,28,1016,1596,31.3967861557478,49.3201483312732,3236
AD,baseline,32,2172,3632,58.7027027027027,98.1621621621622,3700
AD,baseline,26,1126,436,33.9361060880048,13.1404460518385,3318
AD,baseline,33,1906,472,59.5625,14.75,3200
AD,baseline,31,1452,2890,48.692152917505,96.9148222669349,2982
AD,baseline,29,200,2242,6.09384521633151,68.3120048750762,3282
AD,baseline,27,1864,542,54.5987111892209,15.875805506737,3414
AD,baseline,31,1418,2154,40.5142857142857,61.5428571428571,3500
AD,baseline,33,1840,978,54.2772861356932,28.8495575221239,3390
AD,baseline,25,1056,2022,33.2703213610586,63.7051039697542,3174
AD,baseline,33,2304,728,72.0450281425891,22.7642276422764,3198
AD,baseline,26,1856,3464,45.9633481921743,85.7850421000495,4038
AD,baseline,21,1692,1168,50.2375296912114,34.6793349168646,3368
AD,baseline,33,228,3372,6.20915032679739,91.8300653594771,3672
AD,baseline,22,2996,2550,84.0157038698822,71.5086932136848,3566
AD,baseline,26,1910,3620,49.2268041237113,93.298969072165,3880
AD,baseline,26,1788,200,56.0501567398119,6.26959247648903,3190
AD,baseline,32,2600,1770,85.7519788918206,58.377308707124,3032
AD,baseline,23,2100,466,78.2414307004471,17.3621460506706,2684
AD,ATB,15,200,252,2.9708853238265,3.74331550802139,6732
AD,ATB,30,2576,960,29.3527803099362,10.9389243391067,8776
AD,ATB,31,966,1548,12.7038400841662,20.3577064702788,7604
AD,ATB,24,3848,632,62.2855292975073,10.2298478471997,6178
AD,ATB,33,478,1000,7.76478232618584,16.2443144899285,6156
AD,ATB,32,2224,282,39.031239031239,4.94910494910495,5698
AD,ATB,27,3852,1432,77.7239709443099,28.8942695722357,4956
AD,ATB,29,2598,1332,57.0989010989011,29.2747252747253,4550
AD,ATB,33,2100,1588,45.7317073170732,34.581881533101,4592
AD,ATB,33,1724,940,39.1818181818182,21.3636363636364,4400
AD,ATB,27,1472,200,32.5519681556833,4.42282176028306,4522
AD,ATB,32,2252,3600,57.7732170343766,92.3550538737814,3898
AD,ATB,29,3148,216,78.4646061814556,5.38384845463609,4012
AD,ATB,29,1452,2552,33.180987202925,58.3180987202925,4376
AD,ATB,33,2852,1022,59.1210613598673,21.1857379767828,4824
AD,ATB,33,1496,1328,31.965811965812,28.3760683760684,4680
AD,ATB,26,286,3516,6.04395604395604,74.3026204564666,4732
AD,ATB,33,2146,438,44.7829716193656,9.14023372287145,4792
AD,ATB,29,2166,348,50.5838393274171,8.12704343764596,4282
AD,ATB,32,2284,2180,54.4847328244275,52.0038167938931,4192
AD,ATB,33,2890,2042,58.739837398374,41.5040650406504,4920
AD,ATB,25,1630,200,39.6593673965937,4.8661800486618,4110
AD,ATB,33,2184,1594,52.6772793053546,38.4466956102267,4146
AD,ATB,28,2586,1604,57.2630646589903,35.5181576616475,4516
AD,ATB,33,1434,3164,34.1266063779153,75.2974773917182,4202
AD,ATB,33,1474,3090,38.2459782044629,80.176440062273,3854
AD,ATB,31,3520,200,84.1300191204589,4.78011472275335,4184
AD,ATB,30,2758,1954,70,49.5939086294416,3940
AD,ATB,30,464,2920,12.2105263157895,76.8421052631579,3800
AD,ATB,30,1478,3372,39.5187165775401,90.1604278074866,3740
AD,ATB,32,1876,2394,51.4254385964912,65.625,3648
AD,ATB,29,2060,3848,35.8260869565217,66.9217391304348,5750
AD,ATB,33,1540,3560,27.8380332610268,64.352856109906,5532
AD,ATB,33,200,3038,6.23052959501558,94.6417445482866,3210
AD,ATB,25,1818,200,33.2723279648609,3.66032210834553,5464
AD,ATB,32,1772,256,33.0350484712901,4.77255779269202,5364
AD,ATB,32,1422,2136,35.8006042296073,53.7764350453172,3972
AD,ATB,28,882,1816,15.0409276944065,30.968622100955,5864
AD,ATB,32,2220,1852,52.0637898686679,43.4333958724203,4264
AD,ATB,28,2088,200,38.5524372230428,3.69276218611521,5416
AD,ATB,31,3740,3186,87.6699484294421,74.6835443037975,4266
AD,ATB,33,1146,1840,26.8509840674789,43.1115276476101,4268
AD,ATB,31,852,2994,19.740500463392,69.3697868396664,4316
AD,ATB,31,2312,200,54.4,4.70588235294118,4250
AD,ATB,30,3884,200,67.2437673130194,3.46260387811634,5776
AD,ATB,32,786,1176,27.5017494751575,41.147655703289,2858
AD,ATB,31,2044,896,31.5529484408768,13.831429453535,6478
AD,ATB,33,358,2912,6.91921144182451,56.2814070351759,5174
AD,ATB,32,2460,3022,50.8895324782789,62.5155151013653,4834
AD,ATB,33,440,1612,10.9561752988048,40.1394422310757,4016
AD,ATB,30,2700,1318,55.923777961889,27.2990886495443,4828
AD,ATB,32,200,2972,4.28449014567266,63.6675235646958,4668
AD,ATB,24,200,388,6.9589422407794,13.500347947112,2874
